Date,Price,Open,High,Low,Vol.,Change %,GoogleValues
2021-11-07,63273.2,61483.8,63273.2,61347.2,34.34,2.91,38
2021-10-31,61309.6,61842.2,62393.7,60005.7,50.06,-0.86,32
2021-10-24,60866.5,61308.2,61469.9,59523.7,42.67,-0.73,37
2021-10-17,61527.5,60865.5,61651.4,59143.4,53.39,1.09,48
2021-10-10,54687.7,54942.5,56432.2,54100.8,104.43,-0.46,36
2021-10-03,48200.1,47665.4,49165.2,47123.0,42.41,1.12,33
2021-09-26,43203.4,42685.8,43907.3,40786.6,69.91,1.21,30
2021-09-19,47238.7,48299.9,48341.9,46866.6,41.98,-2.21,35
2021-09-12,46062.3,45162.6,46386.4,44755.2,44.52,1.99,28
2021-09-05,51768.6,49918.7,51878.2,49492.4,57.3,3.71,38
2021-08-29,48777.4,48899.7,49621.7,47870.1,47.62,-0.24,29
2021-08-22,49254.5,48870.4,49480.3,48151.0,49.32,0.77,34
2021-08-15,46991.3,47082.6,47344.1,45564.1,58.11,-0.19,33
2021-08-08,43792.8,44584.9,45284.1,43314.4,105.25,-1.84,36
2021-08-01,39878.3,41510.0,42565.0,39556.5,80.33,-4.03,32
2021-07-25,35391.1,34392.5,35391.1,33881.3,65.1,4.63,40
2021-07-18,31785.4,31517.9,32408.2,31220.6,57.01,0.85,34
2021-07-11,34227.7,33510.8,34580.6,33319.8,35.72,2.14,29
2021-07-04,35298.2,34742.8,35957.6,34740.1,56.13,1.6,30
2021-06-27,34678.5,32247.1,34685.5,32041.7,148.8,7.55,37
2021-06-20,35595.8,35510.9,36097.9,33378.0,137.48,0.23,50
2021-06-13,39022.9,35467.5,39321.6,34827.0,123.32,10.02,40
2021-06-06,35815.4,35518.7,36434.0,35265.3,62.2,0.83,54
2021-05-30,35652.8,34589.3,36388.6,33441.0,104.18,3.09,53
2021-05-23,34679.7,37446.8,38248.7,31192.4,325.73,-7.39,72
2021-05-16,46426.4,46729.3,49764.3,43920.8,180.07,-0.6,100
2021-05-09,58238.3,58840.6,59227.0,56414.4,103.59,-1.02,59
2021-05-02,56603.8,57807.2,57868.4,56110.5,53.61,-2.08,45
2021-04-25,48963.6,50088.2,50532.4,47098.5,59.2,-2.25,52
