Date,Price,Open,High,Low,Vol.,Change %,GoogleValues,VolumeSearch
2019-03-01,3821.9,3816.7,3855.8,3816.4,1.74,0.14,9,2237201
2019-02-01,3467.9,3437.7,3485.7,3415.3,481.58,0.9,9,2237201
2019-01-01,3809.4,3709.5,3814.3,3664.4,469.11,2.69,10,2485779
2018-12-01,4196.2,4038.7,4299.1,3967.1,316.3,3.87,13,3231512
2018-11-01,6400.5,6365.9,6421.8,6354.2,124.16,0.54,15,3728668
2018-10-01,6608.2,6635.2,6674.7,6072.7,9.19,-0.41,9,2237201
2018-09-01,7189.6,7032.4,7264.3,7020.4,3.52,2.21,12,2982935
2018-08-01,7606.4,7728.5,7753.2,7449.2,237.69,-1.59,12,2982935
2018-07-01,6366.8,6398.5,6445.1,6284.7,128.51,-0.5,13,3231512
2018-06-01,7530.8,7502.5,7610.4,7375.8,135.92,0.38,13,3231512
2018-05-01,9074.9,9245.1,9245.1,8851.0,173.35,-1.84,15,3728668
2018-04-01,6825.2,6939.1,7047.7,6460.1,257.53,-1.63,19,4722980
2018-03-01,10904.5,10335.1,11047.8,10248.7,188.77,5.52,23,5717292
2018-02-01,9181.1,10266.2,10303.0,8789.2,358.4,-10.56,41,10191694
2018-01-01,13444.9,13850.5,13921.5,12877.7,78.43,-2.93,56,13920363
2017-12-01,10861.5,9947.1,10942.8,9420.9,131.92,9.2,100,24857792
2017-11-01,6737.8,6449.1,6738.7,6355.0,133.19,4.44,43,10688850
2017-10-01,4403.1,4360.6,4412.6,4258.3,60.58,0.97,23,5717292
2017-09-01,4921.9,4735.1,4925.2,4690.2,102.01,3.94,22,5468714
2017-08-01,2747.0,2883.3,2946.0,2659.6,123.17,-4.73,21,5220136
2017-07-01,2424.6,2480.6,2529.6,2387.5,66.32,-2.26,13,3231512
2017-06-01,2412.6,2303.3,2460.8,2303.3,122.7,4.75,15,3728668
2017-05-01,1415.8,1351.9,1448.7,1342.8,100.44,4.73,15,3728668
2017-04-01,1086.1,1079.1,1103.7,1067.5,50.66,0.65,6,1491467
2017-03-01,1222.7,1189.3,1225.0,1154.6,51.15,2.81,7,1740045
2017-02-01,982.4,965.5,986.6,959.8,45.22,1.75,6,1491467
2017-01-01,995.4,963.4,1001.6,956.1,41.15,3.33,6,1491467
2016-12-01,752.6,742.5,755.5,741.1,54.03,1.37,5,1242889
2016-11-01,726.8,698.7,734.4,695.2,68.07,4.02,4,994311
2016-10-01,613.4,608.1,615.0,607.1,16.93,0.87,3,745733
2016-09-01,572.0,573.9,705.0,569.4,25.87,-0.33,3,745733
2016-08-01,607.0,621.9,627.9,603.5,66.66,-2.39,3,745733
2016-07-01,674.6,670.0,685.1,661.1,92.23,0.68,3,745733
2016-06-01,537.4,528.9,542.3,521.3,72.41,1.6,4,994311
2016-05-01,452.2,448.5,454.2,447.5,21.75,0.83,3,745733
2016-04-01,415.6,415.7,416.9,412.8,38.22,0.0,3,745733
2016-03-01,434.0,436.2,439.0,428.5,67.46,-0.5,3,745733
2016-02-01,372.2,369.8,379.8,365.3,74.35,0.63,3,745733
2016-01-01,434.0,430.0,438.0,425.9,46.97,0.94,3,745733
2015-12-01,361.8,378.0,379.0,353.7,111.91,-4.28,4,994311
2015-11-01,323.0,311.2,324.3,304.7,73.71,3.76,4,994311
2015-10-01,237.1,235.9,238.7,234.7,52.88,0.47,3,745733
2015-09-01,227.2,229.5,231.4,225.8,66.54,-1.0,2,497155
2015-08-01,280.5,283.7,284.5,276.3,39.43,-1.15,3,745733
2015-07-01,257.6,264.1,265.0,254.4,66.94,-2.46,3,745733
2015-06-01,223.1,229.8,231.8,221.0,87.06,-2.92,2,497155
2015-05-01,233.2,235.8,239.4,232.4,60.14,-1.09,2,497155
2015-04-01,246.2,244.1,247.7,239.6,67.08,0.86,2,497155
2015-03-01,257.9,254.1,260.6,244.8,51.33,1.53,3,745733
2015-02-01,225.3,218.5,231.4,209.7,41.16,3.1,3,745733
2015-01-01,314.9,318.2,321.4,313.5,12.82,-1.05,3,745733
2014-12-01,378.6,374.9,383.6,373.0,19.67,0.98,3,745733
2014-11-01,325.4,337.9,339.0,320.7,13.77,-3.68,3,745733
2014-10-01,382.8,388.2,395.1,381.1,17.73,-1.37,3,745733
2014-09-01,477.2,481.8,487.5,471.8,6.79,-0.95,3,745733
2014-08-01,598.8,589.5,604.0,586.4,8.93,1.57,3,745733
2014-07-01,643.2,635.1,652.5,634.1,4.11,1.27,3,745733
2014-06-01,649.8,627.9,675.0,622.0,3.55,3.48,3,745733
2014-05-01,460.1,445.6,464.5,444.5,4.2,3.25,3,745733
2014-04-01,463.5,444.7,487.4,438.0,3.97,4.23,4,994311
2014-03-01,557.4,573.9,564.1,262.8,0.4,-2.88,6,1491467
2014-02-01,940.4,938.8,969.2,927.8,4.37,0.17,9,2237201
2014-01-01,815.9,805.9,829.9,771.0,10.76,1.24,8,1988623
2013-12-01,1004.4,1205.7,1216.8,840.3,79.92,-16.69,12,2982935
2013-11-01,213.4,211.2,214.9,209.7,5.88,1.07,10,2485779
2013-10-01,140.3,141.9,144.4,139.4,9.57,-1.13,3,745733
2013-09-01,146.0,141.0,147.3,141.0,14.1,3.55,2,497155
2013-08-01,104.0,106.2,108.0,103.0,15.02,-2.08,2,497155
2013-07-01,88.1,97.5,98.2,86.0,53.17,-9.7,2,497155
2013-06-01,129.3,128.8,129.8,127.1,6.36,0.37,2,497155
2013-05-01,116.4,139.2,140.1,104.0,180.01,-16.41,3,745733
2013-04-01,104.0,93.0,106.0,92.2,90.56,11.79,8,1988623
2013-03-01,34.5,33.4,34.9,32.9,39.79,3.36,3,745733
2013-02-01,20.5,20.4,21.1,20.3,49.92,0.44,1,248577
2013-01-01,13.3,13.5,13.6,13.2,28.41,-1.55,1,248577
2012-12-01,12.6,12.6,12.7,12.5,14.7,0.0,1,248577
2012-11-01,10.6,11.2,11.3,10.4,50.36,-5.63,1,248577
2012-10-01,12.4,12.4,12.5,12.3,24.83,0.0,0,0
2012-09-01,10.0,10.2,10.3,9.8,23.38,-1.87,1,248577
2012-08-01,9.6,9.4,9.6,9.1,68.7,2.14,1,248577
2012-07-01,6.6,6.7,6.7,6.5,20.58,-0.9,0,0
2012-06-01,5.3,5.2,5.3,5.2,44.69,1.74,0,0
2012-05-01,5.0,4.9,5.0,4.9,36.68,1.01,0,0
2012-04-01,4.8,4.9,4.9,4.7,35.95,-1.63,0,0
2012-03-01,4.9,4.9,5.0,4.9,44.18,1.23,0,0
2012-02-01,6.1,5.5,6.2,5.5,115.52,10.95,0,0
2012-01-01,5.3,4.7,5.5,4.6,108.51,11.65,0,0
2011-12-01,3.1,3.0,3.1,2.9,63.86,3.03,0,0
2011-11-01,3.2,3.3,3.3,3.1,37.89,-3.08,0,0
2011-10-01,5.0,5.1,5.3,4.9,23.46,-2.14,0,0
2011-09-01,8.2,8.2,8.4,8.1,11.9,0.0,1,248577
2011-08-01,13.1,13.4,13.6,12.9,21.75,-1.95,1,248577
2011-07-01,15.4,16.1,16.7,15.3,33.28,-4.35,1,248577
2011-06-01,9.6,8.7,9.7,8.3,43.48,9.5,3,745733
2011-05-01,3.0,3.5,3.9,2.5,45.77,-13.43,1,248577
2011-04-01,0.8,0.8,0.8,0.8,3.19,0.0,0,0
2011-03-01,0.9,0.9,1.0,0.9,22.57,7.0,0,0
2011-02-01,0.7,0.5,0.9,0.5,31.56,34.62,0,0
2011-01-01,0.3,0.3,0.3,0.3,2.82,0.0,0,0
